학년군,교과,영역,"핵심
아이디어",내용요소 (지식/이해만),성취기준 코드,성취기준,성취수준(A),성취수준(B),성취수준(C),해설
3~4,사회,역사 일반,,,[4사04-02],옛날부터 오늘날까지 교통의 변화에 따른 이동과 생활 모습의 변화를 이해한다.,옛날부터 오늘날까지 교통의 변화에 따른 이동과 생활 모습의 변화를 일상생활의 경험과 관련지어 탐구할 수 있다.,옛날부터 오늘날까지 교통의 변화에 따른 이동과 생활 모습의 변화를 설명할 수 있다.,옛날부터 오늘날까지 교통의 변화에 따라 이동 수단이 달라졌음을 말할 수 있다.,[4사04-02]는 교통로 및 교통수단의 변화와 달라진 사람들의 생활 모습과의 관계를 이해하도록 설정한 것이다. 시대에 따른 교통의 변화가 사람과 물자의 이동 및 생활 전반에 어떤 변화를 일으켰는지 살펴본다. 그리고 교통 발달에 따른 생활공간의 확대를 고려하여 변화를 설명한다.
3~4,사회,역사 일반,,,[4사04-03],옛날부터 오늘날까지 통신수단의 변화에 따른 정보 교류와 의사소통 방식의 변화를 설명한다.,옛날부터 오늘날까지 통신수단의 변화에 따른 정보 교류와 의사소통 방식의 변화를 일상생활의 경험과 관련지어 탐구할 수 있다.,옛날부터 오늘날까지 통신수단의 변화에 따른 정보 교류와 의사소통 방식의 변화를 설명할 수 있다.,옛날부터 오늘날까지 통신수단의 변화에 따라 정보 교류와 의사소통 방식이 달라졌음을 짐작하여 말할 수 있다.,[4사04-03]은 시대에 따른 통신수단의 변화 과정을 파악하고 이를 통해 달라진 사람들의 생활 모습을 파악하도록 설정한 것이다. 정보 교류와 의사소통 방식의 변화를 파악하여 통신 발달에 따른 공간적 변화를 탐색한다.
3~4,사회,지리 인식,"⋅지표상에 분포하는 모든 사건과 현상은 절대적, 상대적 위치와 다양한 규모의 영역을 차지한다.
⋅장소는 다른 장소와 차별되는 자연적⋅인문적 성격을 지니며, 특정 장소에 따른 장소감은 개인이나 집단에 따라 다양하다.
⋅지표 세계는 장소적 성격의 동질성, 기능적 상호 관련성, 지역민의 인지 등의 측면에서 다양하게 구분되며, 이렇게 구분된 지역은 고유한 지역성이 나타난다. 
⋅지도를 비롯한 다양한 공간자료와 도구를 통한 지리 정보 수집은 장소와 지역의 여러 현상과 사건을 분석하고 해석하며 추론하는 데 필수적이다.","⋅지도의 종류와 쓰임
⋅(디지털)지도와 공간자료
⋅지도의 요소",[4사05-01],"우리 지역을 표현한 다양한 종류의 지도를 찾아보고, 지도의 요소를 이해한다.","우리 지역을 표현한 다양한 지도의 종류와 기능을 분석하고 지도에 나타난 요소의 의미와 쓰임을 설명하며, 실생활에서 지도를 활용할 수 있다.","우리 지역을 표현한 다양한 종류의 지도를 조사하고, 지도에 나타난 요소가 의미하는 바를 설명할 수 있다.","우리 지역을 표현한 다양한 종류의 지도를 보고, 지도의 요소를 구별할 수 있다.","[4사05-01]은 우리 지역을 표현한 다양한 종류의 지도를 탐색하고, 우리 지역의 지도를 활용하여 방위, 기호와 범례, 축척, 높낮이 표현 방식 등 지도 제작에 필요한 요소를 파악하도록 설정한 것이다. 여기서는 지도의 요소를 이해하여 일상생활에서 지도를 활용하는 데 초점을 맞춘다."
3~4,사회,지리 인식,,"⋅우리 지역의 위치
⋅우리나라 행정구역",[4사05-02],"지도에서 우리 지역의 위치를 파악하고, 우리 지역의 지리 정보를 탐색한다.","지도를 통해 우리 지역의 위치 특성을 분석하고, 우리 지역의 지리 정보를 조사하여 우리 지역의 특징을 다른 지역과 비교하여 설명할 수 있다.","지도에서 우리 지역의 위치를 확인하고, 우리 지역의 지리 정보를 조사하여 우리 지역의 특징을 설명할 수 있다.","지도에서 우리 지역의 위치를 찾고, 우리 지역의 지리 정보를 조사할 수 있다.","[4사05-02]는 행정구역을 나타낸 지도에서 지역의 위치를 파악하고, 지역의 지리 정보를 바탕으로 지역의 특징을 탐구하도록 설정한 것이다. 우리나라 지도에서 시⋅도 단위의 행정구역을 파악하면서 우리 지역(시⋅군⋅구)의 위치를 확인하고, 지역의 지리 정보(위치, 면적, 인구, 지형, 기온, 강수량 등)를 다른 지역과 비교하여 지역이 지닌 특징을 이해하는 데 초점을 맞춘다."
3~4,사회,지역사,"⋅문화유산은 과거와 현재를 이어주는 자료이다. 
⋅지역의 박물관, 기념관, 유적지는 지역의 정체성을 보여준다. 
⋅지역의 역사적 문제는 역사 자료를 분석⋅해석⋅평가하여 해결한다.","⋅지역의 문화유산 알아보기 
⋅지역의 역사 이해하기
⋅지역의 역사적 문제 파악 하기",[4사06-01],"지역의 문화유산을 통해 문화유산의 의미와 유형을 알아보고, 문화유산의 가치를 탐색한다.","지역의 문화유산을 통해 문화유산의 의미, 유형, 가치를 탐구하고, 문화유산의 가치를 탐색하여 문화유산을 보존하려는 태도를 가진다.","지역의 문화유산을 통해 문화유산의 의미와 유형을 설명하고, 문화유산의 가치를 찾아 문화유산을 지키려는 태도를 가진다.","지역의 문화유산을 통해 문화유산의 의미와 유형을 탐색하고, 문화유산에 관심을 가진다.","[4사06-01]은 문화유산에 관한 기본 지식 및 가치를 지역의 문화유산을 통해 이해하도록 설정한 것이다. 지역 문화유산을 통해 문화유산의 의미와 유형을 알아보고, 이를 토대로 옛날 사람들의 생활 모습을 추론하며 과거와 현재를 이어주는 귀중한 자료로서 문화유산의 가치를 파악한다."
3~4,사회,지역사,,"⋅지역의 문화유산 알아보기 
⋅지역의 역사 이해하기
⋅지역의 역사적 문제 파악 하기",[4사06-02],"지역의 박물관, 기념관, 유적지 등을 체험하고 지역의 역사를 이해한다.","지역의 박물관, 기념관, 유적지 등을 체험하며 다양한 역사적 사실을 탐구하고 지역의 역사를 지키려는 태도를 가진다.","지역의 박물관, 기념관, 유적지 등을 체험하며 알게 된 역사적 사실을 설명하고 지역의 역사에 지속적으로 관심을 가진다.","지역의 박물관, 기념관, 유적지 등을 살펴보며 지역의 역사에 관심을 가진다.","[4사06-02]는 지역에 있는 박물관, 기념관, 유적지 등을 방문하여 지역의 역사를 이해하기 위해 설정한 것이다. 박물관, 기념관, 유적지 등을 온오프라인으로 방문하여 학생이 주도적으로 지역의 역사에 관한 지식을 습득하고 해석하며 표현한다. 그리고 지역의 역사를 보존하고 실천하는 태도를 기른다."
3~4,사회,경제,"⋅가계와 기업은 합리적 선택을 통해 소비와 금융, 생산 등의 경제활동에 참여하면서 각자의 역할을 수행한다.
⋅시장에서 가격은 수요와 공급을 통해 결정되고 다양한 요인으로 인해 변동한다.
⋅우리나라 경제에서는 경제 성장, 물가 변동, 실업 등의 현상이 나타나며, 세계화 과정에서 다른 나라와의 교역이 활발해지고 있다.","⋅자원의 희소성
⋅경제활동
⋅합리적 선택
⋅생산과 소비 활동",[4사07-01],"자원의 희소성으로 인해 경제활동에서 선택의 문제가 발생함을 이해하고, 경제활동에서 합리적 선택의 방법을 탐색한다.","자원의 희소성으로 인해 경제활동에서 선택의 문제가 발생하는 사례를 조사하고, 경제활동에서 합리적 선택의 방법을 실천할 수 있다.","자원의 희소성으로 인해 경제활동에서 선택의 문제가 발생함을 설명하고, 경제활동에서 합리적 선택의 방법을 탐색할 수 있다.",자원의 희소성으로 인해 경제활동에서 선택의 문제가 발생함을 말할 수 있다.,"[4사07-01]은 자원의 희소성 개념을 이해하고, 이를 바탕으로 경제활동에서 합리적 선택의 방법을 파악하도록 설정한 것이다. 여기서는 경제활동에서 선택의 문제가 발생하는 이유와 합리적 선택의 중요성을 이해하는 데 초점을 맞춘다."
3~4,사회,경제,,"⋅지역 간 교류
⋅상호의존 관계",[4사07-02],"생산과 소비 활동을 파악하고, 인적⋅물적 교류의 사례를 통해 각 지역 및 사람들이 상호의존 관계를 맺고 있음을 탐색한다.","사례를 통해 생산과 소비 활동을 분석하고, 여러 인적ㆍ물적 교류의 사례를 조사하여 각 지역 및 사람들이 상호 의존 관계를 맺고 있음을 도출할 수 있다.","사례를 통해 생산과 소비 활동을 구분하고, 인적ㆍ물적 교류의 사례를 통해 각 지역 및 사람들이 상호 의존 관계에 있음을 설명할 수 있다.","생산과 소비 활동을 구분하고, 인적ㆍ물적 교류의 사례를 조사할 수 있다.","[4사07-02]는 생산과 소비의 개념을 이해하고, 한 지역의 생산과 소비 활동이 다른 지역과 상호의존 관계에 있음을 이해하도록 설정한 것이다. 여기서는 지역에서 이루어지는 생산과 소비 활동의 사례를 통하여 한 지역의 경제활동이 다른 지역과 상호 의존 관계에 있다는 사실을 파악하는 데 초점을 맞춘다."
3~4,사회,정치,"⋅민주주의의 이념과 원리를 실현하기 위해서는 제도와 의식의 개선이 필요하다.
⋅다양한 정치 주체가 정치과정에 참여하며, 민주주의는 여러 제도와 시민 참여를 통해 실현된다.
⋅국제 사회에는 여러 행위 주체가 활동하며, 우리나라를 비롯한 국제 사회의 행위 주체는 다양한 국제 문제 해결을 위해 노력한다.","⋅민주주의의 의미
⋅학교 자치 사례
⋅주민 자치 사례",[4사08-01],"학교 자치 사례를 통하여 민주주의의 의미를 이해하고, 학교생활에서 민주주의를 실천하는 능력을 기른다.","학교 자치 활동의 사례를 조사하여 민주주의의 의미를 도출하고, 학교생활에서 민주주의를 실천하는 데 참여할 수 있다.","학교 자치 활동의 사례를 통하여 민주주의의 의미를 설명하고, 학교생활에서 민주주의를 실천하는 데 관심을 가진다.","학교 자치 활동의 사례를 통하여 민주주의의 의미를 제시하고, 학교생활에서 민주주의를 실천하고자 노력한다.","[4사08-01]은 학교 자치 사례를 통해 민주주의의 의미를 이해하고, 이를 바탕으로 학교생활에서 학교 자치를 실천할 수 있도록 설정한 것이다. 여기서는 학생이 학교 자치를 통해 민주주의를 실천하고 참여할 수 있는 능력을 기르는 데 초점을 맞춘다."
3~4,사회,정치,,"⋅민주주의의 실천
⋅주민 참여와 지역사회 문제 해결",[4사08-02],"지역에서 이루어지는 민주주의 사례를 통해 주민 자치와 주민 참여의 중요성을 파악하고, 지역사회의 문제 해결에 참여하는 태도를 기른다.","지역에서 이루어지는 민주주의의 사례를 통해 주민 자치와 주민 참여의 중요성을 설명하고, 지역사회에서 발생하는 문제를 조사하고 해결하기 위해 노력한다.","지역에서 이루어지는 민주주의의 사례를 통해 주민 자치와 주민 참여의 중요성을 파악하고, 지역사회에서 발생하는 문제와 이에 대한 해결에 관심을 가진다.","지역에서 이루어지는 민주주의의 사례를 통해 주민 자치와 주민 참여의 중요성을 파악하고, 지역사회에서 발생하는 문제에 주의를 기울인다.",[4사08-02]는 민주주의의 의미에 기초하여 마을이나 지역에서 이루어지는 주민 자치와 참여의 중요성을 파악하도록 설정한 것이다. 여기서는 마을이나 지역사회에서 이루어지는 민주주의의 사례를 통해 주민 자치와 주민 참여의 중요성을 이해하고 지역사회의 문제 해결에 관심을 갖고 참여하는 태도를 기르는 것에 초점을 맞춘다.
3~4,사회,정치,,"⋅민주주의의 실천
⋅주민 참여와 지역사회 문제 해결",[4사09-01],"생활 주변에서 찾을 수 있는 여러 가지 문제를 파악하고, 그 문제를 합리적으로 해결하는 능력을 기른다.","생활 주변에서 찾을 수 있는 지역의 여러 가지 문제를 조사하고, 그 문제를 합리적으로 해결하는 방안을 근거를 들어 제안할 수 있다.","생활 주변에서 찾을 수 있는 지역의 여러 가지 문제를 파악하고, 그 문제를 합리적으로 해결하기 위한 방안을 탐색할 수 있다.",생활 주변에서 찾을 수 있는 여러 가지 문제를 제시하고 문제 해결에 관심을 가진다.,"[4사09-01]은 각 지역에서 발생하는 문제를 민주적 방식으로 해결하는 과정과 방법을 습득하도록 설정한 것이다. 지리적 문제, 환경 문제, 사회적 문제, 역사적 문제 등 다양한 문제를 찾아서 토론을 통해 합리적으로 해결하는 방법과 능력을 배우는 데 초점을 맞춘다."
3~4,사회,지리 인식,"⋅지표상에 분포하는 모든 사건과 현상은 절대적, 상대적 위치와 다양한 규모의 영역을 차지한다.
⋅장소는 다른 장소와 차별되는 자연적⋅인문적 성격을 지니며, 특정 장소에 따른 장소감은 개인이나 집단에 따라 다양하다.
⋅지표 세계는 장소적 성격의 동질성, 기능적 상호 관련성, 지역민의 인지 등의 측면에서 다양하게 구분되며, 이렇게 구분된 지역은 고유한 지역성이 나타난다. 
⋅지도를 비롯한 다양한 공간자료와 도구를 통한 지리 정보 수집은 장소와 지역의 여러 현상과 사건을 분석하고 해석하며 추론하는 데 필수적이다.",,[4사09-02],"지역의 자연환경, 역사, 문화, 생산물 등을 알리려는 지역사회의 노력을 알고 관심을 갖는다.","지역의 자연환경, 역사, 문화, 생산물 등을 알리려는 지역사회의 여러 활동을 조사하고, 지역사회의 노력에 다양한 방식으로 참여할 수 있다.","지역의 자연환경, 역사, 문화, 생산물 등을 알리려는 지역사회의 활동을 조사하고, 지역사회의 노력에 지속적으로 관심을 가진다.","지역의 자연환경, 역사, 문화, 생산물 등을 알리려는 지역사회의 활동을 탐색할 수 있다.","[4사09-02]는 지역의 자연환경, 역사, 문화, 생산물 등을 알리기 위한 여러 활동을 조사하면서 지역을 이해하도록 설정한 것이다. 여기서는 지역의 자연환경, 역사, 문화, 생산물 등을 살펴보고, 지역에 관심을 가지며, 지역사회에 참여하는 태도를 기르는 데 주안점을 둔다."
3~4,사회,자연환경과 인간생활,"⋅지표상에는 다양한 기후 특성이 나타나며, 기후 환경은 특정 지역의 생활양식에 중요하게 작용한다.
⋅우리나라와 세계 각지에 다양한 지형 경관이 나타나고, 해당 지역의 인문환경과 인간생활에 중요한 영향을 미친다.
⋅인간은 자연환경에 의존하고 적응하며, 자연환경을 변형시키기도 한다. ",,[4사10-01],"여러 지역의 자연환경과 인문환경의 특징을 살펴보고, 환경의 이용과 개발에 따른 변화를 탐구한다.","여러 지역의 자연환경과 인문환경을 분석하여 특징을 파악하고, 개발과 보전에 관한 균형 있는 관점을 바탕으로 환경의 이용과 개발에 따른 변화를 설명할 수 있다.","여러 지역의 자연환경과 인문환경을 조사하여 우리 지역과의 유사점과 차이점을 발견하고, 환경의 이용과 개발에 따른 변화를 설명할 수 있다.","여러 지역의 자연환경과 인문환경을 조사하여 다양한 환경의 모습을 확인하고, 환경의 이용과 개발에 따른 변화를 살펴볼 수 있다.","[4사10-01]은 우리 지역과 다른 자연환경 및 인문환경이 나타나는 곳을 살펴보고, 환경의 이용과 개발로 변화한 모습을 탐구하도록 설정한 것이다. 여기서는 다양한 환경 특성을 파악하고, 개발로 인해 나타난 긍정적, 부정적 변화 모습을 균형 잡힌 관점으로 파악하는 데 중점을 둔다."
3~4,사회,인문환경과 인간생활,"⋅자연적, 인문적 특성은 특정 지역의 인구 분포, 인구 구성, 인구 이동에 영향을 미친다.
⋅장소나 지역에 따라 다양한 문화가 형성되고, 문화는 여러 요인에 의해 변동된다.
⋅도시와 촌락은 입지, 기능, 공간 구조와 경관 등의 측면에서 다양한 유형이 존재하며, 여러 요인에 의해 변화한다.
⋅인간의 경제활동은 자원이나 산업구조 등 지역의 특성에 따라 다양한 모습으로 나타나며, 교통과 통신은 시⋅공간적 제약을 감소시키고 지역을 변화시킨다. ",,[4사10-02],"사례에서 도시의 인구, 교통, 산업 등의 특징을 탐구하고, 도시에서의 삶의 모습을 이해한다.","우리나라 여러 도시의 사례를 분석하여 도시의 인구, 교통, 산업 등의 특징을 도출하고, 도시 생활의 장점과 단점을 중심으로 도시에서의 삶의 모습을 설명할 수 있다.","우리나라 여러 도시의 인구, 교통, 산업의 특징을 조사하고, 도시 생활의 장점과 단점을 설명할 수 있다.","우리나라 여러 도시의 인구, 교통, 산업의 특징을 찾을 수 있고, 도시에서의 생활 모습을 말할 수 있다.","[4사10-02]는 우리나라 여러 도시의 특징을 탐구하면서 도시에서 나타나는 삶의 모습을 종합적으로 이해하도록 설정한 것이다. 사례에서 도시의 경관, 인구, 교통, 산업, 생활방식의 특징을 이해하고 도시 생활의 좋은 점과 문제들을 파악하는 데 중점을 둔다."
3~4,수학,수와 연산,"⋅사물의 양은 자연수, 분수, 소수 등으로 표현되며, 수는 자연수에서 정수, 유리수, 실수로 확장된다.
⋅사칙계산은 자연수에 대해 정의되며 정수, 유리수, 실수의 사칙계산으로 확장되고 이때 연산의 성질이 일관되게 성립한다. 
⋅수와 사칙계산은 수학 학습의 기본이 되며, 실생활 문제를 포함한 다양한 문제를 해결하는 데 유용하게 활용된다.",⋅다섯 자리 이상의 수,[4수01-01],"[4수01-01] 큰 수의 필요성을 인식하면서 10000 이상의 큰 수에 대한 자릿값과 위치적 기수법을 이해하고, 수를 읽고 쓸 수 있다.","실생활에서 큰 수의 필요성을 설명하고, 10000 이상의 수를 각 자리의 숫자가 나타내는 수들의 합으로 나타내며, 수를 읽고 쓸 수 있다.","실생활에서 큰 수의 필요성을 알고, 10000 이상의 수에서 각 자리의 숫자가 나타내는 수를 말하며, 수를 읽고 쓸 수 있다.","실생활에서 큰 수가 사용됨을 알고, 수 카드, 자릿값 카드 등을 이용하여 10000 이상의 수에서 각 자리의 숫자가 나타내는 수를 알고, 수를 읽고 쓸 수 있다.",
3~4,수학,수와 연산,,⋅다섯 자리 이상의 수,[4수01-02],"[4수01-02] 다섯 자리 이상의 수의 범위에서 수의 계열을 이해하고, 수의 크기를 비교하며 그 방법을 설명할 수 있다.","수의 계열에 대한 이해를 바탕으로 다섯 자리 이상의 수를 여러 가지 방법으로 세며, 수의 크기를 비교하고 그 방법을 설명할 수 있다.","다섯 자리 이상의 수를 만, 억, 조씩 뛰어 세면서 수의 계열을 이해하고, 수의 크기를 비교할 수 있다.","안내된 절차에 따라 다섯 자리 이상의 수를 뛰어 세고, 간단한 두 수의 크기를 비교할 수 있다.",
3~4,수학,수와 연산,,⋅세 자리 수의 덧셈과 뺄셈,[4수01-03],[4수01-03] 세 자리 수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.,"받아올림이 있는 (세 자리 수)+(세 자리 수)와 받아내림이 있는 (세 자리 수)-(세 자리 수)를 계산하고, 그 계산 원리를 설명할 수 있다.","받아올림이 있는 (세 자리 수)+(세 자리 수)와 받아내림이 있는 (세 자리 수)-(세 자리 수)의 계산 원리를 이해하고, 그 계산을 할 수 있다.",안내된 절차에 따라 받아올림이 있는 (세 자리 수)+(세 자리 수)와 받아내림이 있는 (세 자리 수)-(세 자리 수)의 간단한 계산을 할 수 있다.,"[4수01-03] 덧셈은 세 자리 수의 범위에서 다루되, 합이 네 자리 수인 경우도 포함한다."
3~4,수학,수와 연산,,⋅자연수의 곱셈과 나눗셈,[4수01-04],[4수01-04] 곱하는 수가 한 자리 수 또는 두 자리 수인 곱셈의 계산 원리를 이해하고 그 계산을 할 수 있다.,"(두 자리 수)×(한 자리 수), (세 자리 수)×(한 자리 수), (두 자리 수)×(두 자리 수), (세 자리 수)×(두 자리 수)를 계산하고, 그 계산 원리를 설명할 수 있다.","(두 자리 수)×(한 자리 수), (세 자리 수)×(한 자리 수), (두 자리 수)×(두 자리 수), (세 자리 수)×(두 자리 수)의 계산 원리를 이해하고, 그 계산을 할 수 있다.","안내된 절차에 따라 (두 자리 수)×(한 자리 수), (두 자리 수)×(두 자리 수)의 간단한 계산을 할 수 있다.","[4수01-04] 곱셈은 ‘(두 자리 수)(한 자리 수)’, ‘(세 자리 수)(한 자리 수)’, ‘(두 자리 수)(두 자리 수)’, ‘(세 자리 수)(두 자리 수)’를 다룬다."
3~4,수학,수와 연산,,⋅자연수의 곱셈과 나눗셈,[4수01-05],"[4수01-05] 나눗셈이 이루어지는 실생활 상황과 연결하여 나눗셈의 의미를 알고, 곱셈과 나눗셈의 관계를 이해한다.","나눗셈이 이루어지는 실생활 상황과 연결하여 나눗셈의 의미를 설명하고, 한 가지 상황을 곱셈식과 나눗셈식으로 나타내어 곱셈과 나눗셈의 관계를 설명할 수 있다.","나눗셈이 이루어지는 실생활 상황과 연결하여 나눗셈의 의미를 이해하고, 이를 나눗셈식으로 나타내며, 한 가지 상황을 곱셈식과 나눗셈식으로 나타낼 수 있다.","안내된 절차에 따라 나눗셈이 이루어지는 실생활 상황을 나눗셈식으로 나타내고, 곱셈식을 나눗셈식으로, 나눗셈식을 곱셈식으로 나타낼 수 있다.",
3~4,수학,수와 연산,,⋅자연수의 곱셈과 나눗셈,[4수01-06],"[4수01-06] 나누는 수가 한 자리 수인 나눗셈의 계산 원리를 이해하고 그 계산을 할 수 있으며, 나눗셈에서 몫과 나머지의 의미를 안다.","나누는 수가 한 자리 수인 나눗셈을 계산하여 몫과 나머지를 구하고, 나눗셈에서 몫과 나머지의 의미와 계산 원리를 설명할 수 있다.","나누는 수가 한 자리 수인 나눗셈의 계산 원리를 이해하고, 그 계산을 하여 몫과 나머지를 구할 수 있다.",안내된 절차에 따라 나누는 수가 한 자리 수인 나눗셈을 하여 몫과 나머지를 구할 수 있다.,"[4수01-06] 나눗셈에서 ‘(두 자리 수)(한 자리 수)’는 나누어떨어지는 경우와 나누어떨어지지 않는 경우를 포함하여 몫과 나머지를 이해하게 한다.
"
3~4,수학,수와 연산,,⋅자연수의 곱셈과 나눗셈,[4수01-07],[4수01-07] 나누는 수가 두 자리 수인 나눗셈의 계산 원리를 이해하고 그 계산을 할 수 있다. ,"(두 자리 수)  (두 자리 수)와 (세 자리 수)  (두 자리 수)를 계산하고, 그 계산 원리를 설명할 수 있다.","(두 자리 수)  (두 자리 수)와 (세 자리 수)  (두 자리 수)의 계산 원리를 이해하고, 그 계산을 할 수 있다.",안내된 절차에 따라 (두 자리 수)  (두 자리 수)와 (세 자리 수)  (두 자리 수)의 간단한 계산을 할 수 있다.,"[4수01-07] 나누는 수가 두 자리 수인 나눗셈에서는 ‘(두 자리 수)(두 자리 수)’, ‘(세 자리 수)(두 자리 수)’를 다룬다.
"
3~4,수학,수와 연산,,⋅자연수의 곱셈과 나눗셈,[4수01-08],"[4수01-08] 자연수의 덧셈, 뺄셈, 곱셈, 나눗셈과 관련한 여러 가지 상황에서 어림셈을 할 수 있다. ","자연수의 덧셈, 뺄셈, 곱셈, 나눗셈에서 계산 결과를 어림하며, 어림셈을 이용하여 계산 결과가 타당한지를 확인하고, 실생활 문제를 해결할 수 있다.","자연수의 덧셈, 뺄셈, 곱셈, 나눗셈에서 계산 결과를 어림하며, 어림셈을 이용하여 계산 결과가 타당한지를 확인할 수 있다.","안내된 절차에 따라 간단한 자연수의 덧셈, 뺄셈, 곱셈, 나눗셈의 계산 결과를 어림할 수 있다.",
3~4,수학,수와 연산,,⋅분수,[4수01-09],"[4수01-09] 양의 등분할을 통하여 분수의 필요성을 인식하고, 분수를 이해하고 읽고 쓸 수 있다.","양의 등분할을 이용하여 분수의 필요성과 의미를 설명하고, 분수를 읽고 쓸 수 있다.","양의 등분할을 통하여 분수의 필요성과 의미를 알고, 분수를 읽고 쓸 수 있다.",안내된 절차에 따라 분모와 분자를 구별하여 분수를 읽고 쓸 수 있다.,"[4수01-09] 1보다 작은 양을 나타내는 경우를 통하여 분수의 필요성이나 그 표현의 편리함을 인식하게 할 수 있다. 양의 등분할을 통하여 분수를 도입할 때 부분과 전체를 파악하게 하고, ‘분모’, ‘분자’를 사용한다."
3~4,수학,수와 연산,,⋅분수,[4수01-10],"[4수01-10] 단위분수, 진분수, 가분수, 대분수를 알고, 그 관계를 이해한다.","단위분수, 진분수, 가분수, 대분수의 관계를 설명하고, 가분수를 대분수로, 대분수를 가분수로 나타낼 수 있다.","단위분수, 진분수, 가분수, 대분수를 알고, 가분수를 대분수로, 대분수를 가분수로 나타낼 수 있다.","안내된 절차에 따라 단위분수, 진분수, 가분수, 대분수를 구분하고, 가분수를 대분수로, 대분수를 가분수로 나타낼 수 있다.",
3~4,수학,수와 연산,,⋅분수,[4수01-11],"[4수01-11] 분모가 같은 분수끼리, 단위분수끼리 크기를 비교하고 그 방법을 설명할 수 있다.","분모가 같은 분수끼리, 단위분수끼리 크기를 비교하고, 그 방법을 설명할 수 있다.","분모가 같은 분수끼리, 단위분수끼리 크기를 비교할 수 있다.","구체물이나 그림을 보고 분모가 같은 분수끼리, 단위분수끼리 크기를 직관적으로 비교할 수 있다.",
3~4,수학,수와 연산,,⋅소수,[4수01-12],[4수01-12] 분모가 10인 진분수와 연결하여 소수 한 자리 수를 이해하고 읽고 쓸 수 있다.,"분모가 10인 진분수를 소수 한 자리 수로 나타내고 읽고 쓰며, 실생활에서 소수가 활용되는 사례를 찾아 소수의 필요성을 말할 수 있다.","분모가 10인 진분수를 소수 한 자리 수로 나타내고 읽고 쓰며, 실생활에서 소수가 활용되는 사례를 찾을 수 있다.","1/10 = 0.1임을 알고, 소수 한 자리 수를 읽고 쓸 수 있다.",
3~4,수학,수와 연산,,⋅소수,[4수01-13],[4수01-13] 자릿값의 원리를 바탕으로 소수 두 자리 수와 소수 세 자리 수를 이해하고 읽고 쓸 수 있다.,"소수 두 자리 수와 소수 세 자리 수에서 자릿값의 원리를 설명하고, 소수를 읽고 쓸 수 있다.","소수 두 자리 수와 소수 세 자리 수에서 자릿값의 원리를 이해하고, 소수를 읽고 쓸 수 있다.","안내된 절차에 따라 분모가 100, 1000인 분수를 소수로 나타내고, 그 소수를 읽을 수 있다.",
3~4,수학,수와 연산,,⋅소수,[4수01-14],[4수01-14] 소수의 크기를 비교하고 그 방법을 설명할 수 있다.,"여러 가지 소수의 크기를 비교하고, 그 방법을 설명할 수 있다.",여러 가지 소수의 크기를 비교할 수 있다.,구체물이나 그림을 이용하여 소수의 크기를 비교할 수 있다.,
3~4,수학,수와 연산,,⋅분모가 같은 분수의 덧셈과 뺄셈,[4수01-15],[4수01-15] 분모가 같은 분수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.,"분모가 같은 분수의 덧셈과 뺄셈을 여러 가지 방법으로 계산하고, 그 계산 원리를 설명할 수 있다.","분모가 같은 분수의 덧셈과 뺄셈의 계산 원리를 이해하고, 그 계산을 할 수 있다.",안내된 절차에 따라 분모가 같은 간단한 분수의 덧셈과 뺄셈을 할 수 있다.,
3~4,수학,수와 연산,,⋅소수의 덧셈과 뺄셈,[4수01-16],[4수01-16] 소수 두 자리 수의 범위에서 소수의 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.,"소수 두 자리 수의 범위에서 소수의 덧셈과 뺄셈을 계산하고, 그 계산 원리를 설명할 수 있다.","소수 두 자리 수의 범위에서 소수의 덧셈과 뺄셈의 계산 원리를 이해하고, 그 계산을 할 수 있다.",안내된 절차에 따라 소수 두 자리 수의 범위에서 간단한 소수의 덧셈과 뺄셈을 할 수 있다.,
3~4,수학,변화와 관계,"⋅변화하는 현상에 반복적인 요소로 들어있는 규칙은 수나 식으로 표현될 수 있으며, 규칙을 탐구하는 것은 수학적으로 추측하고 일반화하는 데 기반이 된다.
⋅동치 관계, 대응 관계, 비례 관계 등은 여러 현상에 들어있는 대상들 사이의 다양한 관계를 기술하고 복잡한 문제를 해결하는 데 유용하게 활용된다.
⋅수와 그 계산은 문자와 식을 사용하여 일반화되며, 특정한 관계를 만족시키는 미지의 값은 방정식과 부등식을 해결하는 적절한 절차를 거쳐 구해진다.
⋅한 양이 변함에 따라 다른 양이 하나씩 정해지는 두 양 사이의 대응 관계를 나타내는 함수와 그 그래프는 변화하는 현상 속의 다양한 관계를 수학적으로 표현한다.",⋅규칙,[4수02-01],"다양한 변화 규칙을 찾아 설명하고, 그 규칙을 수나 식으로 나타낼 수 있다.","여러 가지 배열에서 다양한 변화 규칙을 찾아 수나 식으로 나타내고, 그 방법을 설명할 수 있다.","주어진 배열에서 변화 규칙을 찾아 말하고, 그 규칙을 수나 식으로 나타낼 수 있다.",안내된 절차에 따라 간단한 배열에서 변화 규칙을 찾아 수나 식으로 나타낼 수 있다.,
